IYear;LME;Catch (Tonnes/year);;;
1950;1;15281.65211;;;Catch and landed values by bottom gears in LMEs
1950;2;25172.88783;;;
1950;3;24775.42998;;;
1950;4;11321.17587;;;
1950;5;104477.1437;;;
1950;6;25509.72312;;;
1950;7;528463.8416;;;
1950;8;26565.77891;;;
1950;9;40829.72342;;;
1950;10;3446.544858;;;
1950;11;7709.063666;;;
1950;12;11280.21917;;;
1950;13;12343.03099;;;
1950;14;13754.62292;;;
1950;15;12174.62672;;;
1950;16;8606.031086;;;
1950;17;12173.84686;;;
1950;18;5554.497714;;;
1950;19;139351.0329;;;
1950;20;120317.1704;;;
1950;21;113022.2439;;;
1950;22;292366.1647;;;
1950;23;15919.25971;;;
1950;24;111748.6991;;;
1950;25;86350.50042;;;
1950;26;55271.63273;;;
1950;27;6458.889238;;;
1950;28;9779.899253;;;
1950;29;8949.265813;;;
1950;30;4239.500527;;;
1950;31;0.228395709;;;
1950;32;143829.3123;;;
1950;33;1984.026905;;;
1950;34;46996.91044;;;
1950;35;21576.40868;;;
1950;36;108160.9363;;;
1950;37;64996.81292;;;
1950;38;4534.189971;;;
1950;39;367.4168557;;;
1950;40;191.3177762;;;
1950;41;1504.50369;;;
1950;42;157.3647135;;;
1950;43;156.4571221;;;
1950;44;142.8746811;;;
1950;45;248.7673571;;;
1950;46;15807.59796;;;
1950;47;331401.452;;;
1950;48;104475.935;;;
1950;49;141123.6971;;;
1950;50;117879.1471;;;
1950;51;18867.7236;;;
1950;52;40204.99324;;;
1950;53;9345.691998;;;
1950;54;44.5966421;;;
1950;55;7.973288076;;;
1950;56;44.42996454;;;
1950;57;110.3005668;;;
1950;58;601.8505257;;;
1950;59;5400.238068;;;
1950;60;13592.46766;;;
1950;62;6328.024813;;;
1950;63;126.4700783;;;
1950;64;77.74460105;;;
1950;65;55.92600429;;;
1950;66;12460.61206;;;
1951;1;18367.11772;;;
1951;2;26415.85418;;;
1951;3;23008.02991;;;
1951;4;11433.26672;;;
1951;5;111390.6405;;;
1951;6;27418.0424;;;
1951;7;524790.0287;;;
1951;8;21660.19437;;;
1951;9;46672.47124;;;
1951;10;3131.66556;;;
1951;11;7982.179244;;;
1951;12;11034.335;;;
1951;13;15104.66361;;;
1951;14;19252.45713;;;
1951;15;14250.83439;;;
1951;16;7601.392972;;;
1951;17;18087.21572;;;
1951;18;10251.10208;;;
1951;19;192532.2716;;;
1951;20;131436.2068;;;
1951;21;123552.7578;;;
1951;22;349756.256;;;
1951;23;16235.2462;;;
1951;24;113463.3187;;;
1951;25;85242.63555;;;
1951;26;53980.47702;;;
1951;27;7493.045286;;;
1951;28;9915.484476;;;
1951;29;10896.53823;;;
1951;30;4917.726353;;;
1951;31;0.319595439;;;
1951;32;129171.5314;;;
1951;33;1942.851615;;;
1951;34;43082.30207;;;
1951;35;19398.40428;;;
1951;36;151202.9568;;;
1951;37;76427.00197;;;
1951;38;22006.35527;;;
1951;39;988.5494288;;;
1951;40;192.911842;;;
1951;41;1958.658576;;;
1951;42;136.3319041;;;
1951;43;158.8878096;;;
1951;44;87.75318698;;;
1951;45;384.143095;;;
1951;46;16002.03353;;;
1951;47;359043.6514;;;
1951;48;116908.8622;;;
1951;49;147094.0216;;;
1951;50;121214.2471;;;
1951;51;19140.27999;;;
1951;52;48170.32567;;;
1951;53;12916.33589;;;
1951;54;50.90082887;;;
1951;55;8.956259312;;;
1951;56;44.42996454;;;
1951;57;110.3005668;;;
1951;58;612.064727;;;
1951;59;7531.772529;;;
1951;60;34824.18401;;;
1951;62;19563.47729;;;
1951;63;108.9016351;;;
1951;64;78.4090855;;;
1951;65;46.52332923;;;
1951;66;11429.09444;;;
1952;1;22008.98687;;;
1952;2;30687.17678;;;
1952;3;20861.72369;;;
1952;4;8855.177169;;;
1952;5;116623.6853;;;
1952;6;29904.67296;;;
1952;7;517439.2107;;;
1952;8;31812.24036;;;
1952;9;75980.12073;;;
1952;10;3412.696288;;;
1952;11;6823.829145;;;
1952;12;9680.575275;;;
1952;13;20873.05348;;;
1952;14;22075.98174;;;
1952;15;17056.48527;;;
1952;16;9070.687177;;;
1952;17;20222.93548;;;
1952;18;17902.39131;;;
1952;19;205101.8601;;;
1952;20;115993.6531;;;
1952;21;127954.0047;;;
1952;22;350746.0099;;;
1952;23;16154.57348;;;
1952;24;125743.6508;;;
1952;25;92412.73459;;;
1952;26;54534.09903;;;
1952;27;9197.86736;;;
1952;28;10355.94535;;;
1952;29;11271.85646;;;
1952;30;4539.045293;;;
1952;31;0.543721631;;;
1952;32;145489.0498;;;
1952;33;2660.563617;;;
1952;34;46565.97718;;;
1952;35;17816.47755;;;
1952;36;171024.0489;;;
1952;37;71047.67364;;;
1952;38;24972.2312;;;
1952;39;1451.024525;;;
1952;40;381.1973754;;;
1952;41;2232.424251;;;
1952;42;167.8736125;;;
1952;43;189.047342;;;
1952;44;102.1268959;;;
1952;45;436.9878867;;;
1952;46;16633.53736;;;
1952;47;321130.9768;;;
1952;48;117167.6417;;;
1952;49;127055.4787;;;
1952;50;105416.3965;;;
1952;51;18227.23305;;;
1952;52;56565.09642;;;
1952;53;18314.93829;;;
1952;54;50.90177578;;;
1952;55;8.982693966;;;
1952;56;44.42996454;;;
1952;57;110.3005668;;;
1952;58;589.322658;;;
1952;59;8332.777386;;;
1952;60;34524.78822;;;
1952;62;19583.91432;;;
1952;63;159.1644697;;;
1952;64;74.77789924;;;
1952;65;60.9535417;;;
1952;66;15716.71857;;;
1953;1;24457.93617;;;
1953;2;27564.76165;;;
1953;3;21369.93037;;;
1953;4;13630.82065;;;
1953;5;117691.0695;;;
1953;6;30604.95721;;;
1953;7;485765.2007;;;
1953;8;31220.20004;;;
1953;9;88149.24793;;;
1953;10;3227.232259;;;
1953;11;9992.329522;;;
1953;12;9703.55788;;;
1953;13;19065.50588;;;
1953;14;22535.06657;;;
1953;15;13719.21814;;;
1953;16;7201.310234;;;
1953;17;17108.6292;;;
1953;18;24740.77782;;;
1953;19;245384.0667;;;
1953;20;118618.0531;;;
1953;21;122144.1888;;;
1953;22;393169.0488;;;
1953;23;15105.8953;;;
1953;24;137420.0604;;;
1953;25;106782.7228;;;
1953;26;55835.7134;;;
1953;27;6792.226436;;;
1953;28;10579.46229;;;
1953;29;13969.27766;;;
1953;30;4279.495114;;;
1953;31;214.0177606;;;
1953;32;154070.7102;;;
1953;33;2546.926257;;;
1953;34;46040.84587;;;
1953;35;20495.09233;;;
1953;36;182229.5695;;;
1953;37;67508.69507;;;
1953;38;25683.46521;;;
1953;39;1605.897767;;;
1953;40;421.5648618;;;
1953;41;2345.028005;;;
1953;42;216.7933637;;;
1953;43;201.7571027;;;
1953;44;108.3253261;;;
1953;45;456.5335183;;;
1953;46;15529.62693;;;
1953;47;276066.6444;;;
1953;48;117941.2581;;;
1953;49;96928.53951;;;
1953;50;83244.95853;;;
1953;51;16347.33573;;;
1953;52;66646.00341;;;
1953;53;25018.08305;;;
1953;54;50.74744237;;;
1953;55;8.932596055;;;
1953;56;44.42996454;;;
1953;57;110.3005668;;;
1953;58;624.6529641;;;
1953;59;8914.195877;;;
1953;60;48210.5422;;;
1953;62;14521.19489;;;
1953;63;154.4573719;;;
1953;64;129.2593115;;;
1953;65;60.82718052;;;
1953;66;16717.25291;;;
1954;1;31680.97031;;;
1954;2;33315.68433;;;
1954;3;26457.03961;;;
1954;4;13402.88878;;;
1954;5;109992.7865;;;
1954;6;28489.14269;;;
1954;7;450666.8866;;;
1954;8;46002.62347;;;
1954;9;139591.1189;;;
1954;10;1681.269349;;;
1954;11;10560.91926;;;
1954;12;10412.91749;;;
1954;13;19914.289;;;
1954;14;21166.91746;;;
1954;15;15241.68144;;;
1954;16;8174.017659;;;
1954;17;21233.97358;;;
1954;18;35682.22349;;;
1954;19;221186.6979;;;
1954;20;123416.032;;;
1954;21;127359.2845;;;
1954;22;349088.0681;;;
1954;23;20056.16779;;;
1954;24;139805.2495;;;
1954;25;109350.041;;;
1954;26;62947.23032;;;
1954;27;6897.273227;;;
1954;28;12491.92922;;;
1954;29;14041.53765;;;
1954;30;3789.016416;;;
1954;31;284.9410431;;;
1954;32;186197.4992;;;
1954;33;2597.384819;;;
1954;34;54607.87531;;;
1954;35;23348.86732;;;
1954;36;232978.796;;;
1954;37;76868.70545;;;
1954;38;27354.11059;;;
1954;39;1914.215168;;;
1954;40;509.6363559;;;
1954;41;1900.553334;;;
1954;42;407.4879407;;;
1954;43;464.1367229;;;
1954;44;226.5269728;;;
1954;45;876.8605215;;;
1954;46;14058.64322;;;
1954;47;267661.3048;;;
1954;48;116838.1792;;;
1954;49;85728.59061;;;
1954;50;76775.51396;;;
1954;51;16534.2782;;;
1954;52;76915.44363;;;
1954;53;33442.93913;;;
1954;54;50.75115275;;;
1954;55;8.962698414;;;
1954;56;44.42996454;;;
1954;57;110.3005668;;;
1954;58;685.6422736;;;
1954;59;12087.60052;;;
1954;60;39165.54936;;;
1954;62;21901.86262;;;
1954;63;193.7939066;;;
1954;64;221.3938416;;;
1954;65;63.84686742;;;
1954;66;22197.2401;;;
1955;1;34496.31836;;;
1955;2;31124.0028;;;
1955;3;27374.1917;;;
1955;4;16366.3664;;;
1955;5;100013.0851;;;
1955;6;25328.55398;;;
1955;7;443133.227;;;
1955;8;59081.86439;;;
1955;9;179565.8532;;;
1955;10;1788.240018;;;
1955;11;12948.87717;;;
1955;12;11491.96641;;;
1955;13;26487.18651;;;
1955;14;21006.11119;;;
1955;15;18588.25758;;;
1955;16;9929.347961;;;
1955;17;27356.25364;;;
1955;18;38002.13032;;;
1955;19;154314.3003;;;
1955;20;163562.0455;;;
1955;21;125504.0425;;;
1955;22;409470.9215;;;
1955;23;36500.58891;;;
1955;24;153124.3313;;;
1955;25;123570.4989;;;
1955;26;67638.86566;;;
1955;27;7442.226706;;;
1955;28;12771.67077;;;
1955;29;19063.43335;;;
1955;30;3636.621136;;;
1955;31;355.9166581;;;
1955;32;172535.6274;;;
1955;33;3072.31833;;;
1955;34;48693.43679;;;
1955;35;21244.41417;;;
1955;36;251837.1884;;;
1955;37;77297.57754;;;
1955;38;28184.78578;;;
1955;39;2149.052243;;;
1955;40;531.6348249;;;
1955;41;1864.484586;;;
1955;42;648.861589;;;
1955;43;740.2639863;;;
1955;44;355.024026;;;
1955;45;1229.191982;;;
1955;46;16086.93672;;;
1955;47;250930.3007;;;
1955;48;91591.77317;;;
1955;49;96999.59074;;;
1955;50;87238.91603;;;
1955;51;19545.22583;;;
1955;52;93864.17248;;;
1955;53;40726.81075;;;
1955;54;50.59676856;;;
1955;55;8.923831211;;;
1955;56;44.42996454;;;
1955;57;110.3005668;;;
1955;58;834.4391854;;;
1955;59;11483.53024;;;
1955;60;25152.16679;;;
1955;62;36176.17384;;;
1955;63;269.0871699;;;
1955;64;451.936912;;;
1955;65;83.05317389;;;
1955;66;28649.45453;;;
1956;1;39010.22359;;;
1956;2;31206.66176;;;
1956;3;28767.12181;;;
1956;4;17256.69511;;;
1956;5;97162.49269;;;
1956;6;24673.15157;;;
1956;7;423606.6465;;;
1956;8;60630.31333;;;
1956;9;179855.0481;;;
1956;10;2364.925849;;;
1956;11;14864.64008;;;
1956;12;11609.53363;;;
1956;13;24712.76239;;;
1956;14;24638.14573;;;
1956;15;20912.0109;;;
1956;16;11238.8123;;;
1956;17;29616.68436;;;
1956;18;36527.5414;;;
1956;19;201405.5096;;;
1956;20;187101.9317;;;
1956;21;140199.8994;;;
1956;22;457106.8586;;;
1956;23;36266.08806;;;
1956;24;165845.908;;;
1956;25;116264.7794;;;
1956;26;72093.96298;;;
1956;27;7309.000249;;;
1956;28;14857.86441;;;
1956;29;19644.3288;;;
1956;30;3899.109214;;;
1956;31;285.1553343;;;
1956;32;219164.7025;;;
1956;33;2724.102001;;;
1956;34;62422.24412;;;
1956;35;21418.94658;;;
1956;36;254992.8968;;;
1956;37;66195.62711;;;
1956;38;28636.24065;;;
1956;39;2298.857823;;;
1956;40;647.9808215;;;
1956;41;1778.003391;;;
1956;42;553.0935558;;;
1956;43;602.2562311;;;
1956;44;285.3308701;;;
1956;45;1073.802681;;;
1956;46;16029.39724;;;
1956;47;278439.4499;;;
1956;48;108701.2032;;;
1956;49;96107.76872;;;
1956;50;87707.37488;;;
1956;51;20378.31497;;;
1956;52;101974.9433;;;
1956;53;45071.90788;;;
1956;54;50.59676856;;;
1956;55;8.9526367;;;
1956;56;44.42996454;;;
1956;57;110.3005668;;;
1956;58;976.003821;;;
1956;59;11080.6017;;;
1956;60;39356.48578;;;
1956;62;45013.61601;;;
1956;63;261.7729322;;;
1956;64;687.7433254;;;
1956;65;84.77518662;;;
1956;66;28194.15578;;;
1957;1;42282.10044;;;
1957;2;33659.27514;;;
1957;3;31612.57785;;;
1957;4;17028.52741;;;
1957;5;92019.80405;;;
1957;6;22919.93342;;;
1957;7;427248.6046;;;
1957;8;54613.78568;;;
1957;9;172468.9361;;;
1957;10;3095.89839;;;
1957;11;13766.24927;;;
1957;12;12344.49466;;;
1957;13;28532.98109;;;
1957;14;21705.1378;;;
1957;15;23351.66862;;;
1957;16;12347.50718;;;
1957;17;31766.97469;;;
1957;18;35512.5892;;;
1957;19;198056.1847;;;
1957;20;175874.3618;;;
1957;21;133047.612;;;
1957;22;500889.9051;;;
1957;23;35362.63087;;;
1957;24;175141.5843;;;
1957;25;117631.1755;;;
1957;26;80125.77403;;;
1957;27;7800.090047;;;
1957;28;15732.95017;;;
1957;29;16806.84605;;;
1957;30;4042.065713;;;
1957;31;214.2115613;;;
1957;32;194235.1962;;;
1957;33;3535.458135;;;
1957;34;56823.04604;;;
1957;35;22780.30414;;;
1957;36;277493.7798;;;
1957;37;73425.72279;;;
1957;38;27926.04085;;;
1957;39;2170.337661;;;
1957;40;513.9937717;;;
1957;41;1349.045184;;;
1957;42;621.2111915;;;
1957;43;741.7896102;;;
1957;44;352.2589274;;;
1957;45;1320.448922;;;
1957;46;17304.37998;;;
1957;47;302188.4684;;;
1957;48;109745.8587;;;
1957;49;110426.8089;;;
1957;50;97970.81473;;;
1957;51;24257.13446;;;
1957;52;107575.3565;;;
1957;53;45086.49133;;;
1957;54;50.44055435;;;
1957;55;8.913116767;;;
1957;56;44.42996454;;;
1957;57;110.3005668;;;
1957;58;901.7999915;;;
1957;59;11210.91701;;;
1957;60;46633.9087;;;
1957;62;58649.1327;;;
1957;63;268.7767198;;;
1957;64;735.7036291;;;
1957;65;97.22209998;;;
1957;66;30074.34461;;;
1958;1;45119.10813;;;
1958;2;32884.0819;;;
1958;3;33049.00644;;;
1958;4;19065.12679;;;
1958;5;82976.67372;;;
1958;6;20065.22766;;;
1958;7;404021.3811;;;
1958;8;45902.08389;;;
1958;9;158603.1057;;;
1958;10;3297.014623;;;
1958;11;17122.37111;;;
1958;12;12939.00853;;;
1958;13;30114.35735;;;
1958;14;23210.57586;;;
1958;15;22853.2176;;;
1958;16;12126.05231;;;
1958;17;29123.21995;;;
1958;18;34293.75007;;;
1958;19;212510.7752;;;
1958;20;114114.9219;;;
1958;21;126328.1578;;;
1958;22;504109.5868;;;
1958;23;28999.63466;;;
1958;24;176960.8255;;;
1958;25;118214.5145;;;
1958;26;143420.7841;;;
1958;27;9852.252068;;;
1958;28;17464.48042;;;
1958;29;19747.74091;;;
1958;30;4426.598099;;;
1958;31;214.1015618;;;
1958;32;169037.3178;;;
1958;33;3617.852246;;;
1958;34;48753.17723;;;
1958;35;20717.17193;;;
1958;36;261736.5888;;;
1958;37;18687.97969;;;
1958;38;28796.82687;;;
1958;39;2006.021433;;;
1958;40;506.7378147;;;
1958;41;1371.47299;;;
1958;42;443.1346682;;;
1958;43;506.4554073;;;
1958;44;245.8603407;;;
1958;45;933.979865;;;
1958;46;17662.11678;;;
1958;47;295933.1912;;;
1958;48;109084.5134;;;
1958;49;112355.9746;;;
1958;50;99101.63969;;;
1958;51;23972.8267;;;
1958;52;105954.5918;;;
1958;53;49463.25017;;;
1958;54;50.59230867;;;
1958;55;8.960067959;;;
1958;56;44.42996454;;;
1958;57;110.3005668;;;
1958;58;558.1824891;;;
1958;59;11514.17544;;;
1958;60;51570.07525;;;
1958;62;28768.03857;;;
1958;63;262.7272942;;;
1958;64;272.8246766;;;
1958;65;100.7538368;;;
1958;66;27918.42248;;;
1959;1;54792.84265;;;
1959;2;36929.68209;;;
1959;3;37657.85758;;;
1959;4;22950.32961;;;
1959;5;99289.75017;;;
1959;6;23472.76141;;;
1959;7;403765.5981;;;
1959;8;48720.84755;;;
1959;9;163782.5624;;;
1959;10;3647.788319;;;
1959;11;20301.12484;;;
1959;12;15733.52618;;;
1959;13;26957.23553;;;
1959;14;24440.84198;;;
1959;15;21025.82975;;;
1959;16;11469.78988;;;
1959;17;33916.99684;;;
1959;18;35092.42897;;;
1959;19;181841.0664;;;
1959;20;124801.3932;;;
1959;21;179912.2749;;;
1959;22;563761.0905;;;
1959;23;35798.12853;;;
1959;24;160845.6843;;;
1959;25;121717.9337;;;
1959;26;134874.9391;;;
1959;27;13833.78949;;;
1959;28;22342.15634;;;
1959;29;20028.75799;;;
1959;30;4024.428259;;;
1959;31;143.3630127;;;
1959;32;161743.1353;;;
1959;33;5042.424726;;;
1959;34;47514.7136;;;
1959;35;20512.18665;;;
1959;36;268239.5789;;;
1959;37;19452.68958;;;
1959;38;27570.43804;;;
1959;39;2210.39464;;;
1959;40;605.8639948;;;
1959;41;2103.75625;;;
1959;42;600.394056;;;
1959;43;653.9353588;;;
1959;44;315.4028748;;;
1959;45;1094.236391;;;
1959;46;19866.54799;;;
1959;47;307513.704;;;
1959;48;120099.7076;;;
1959;49;110310.8115;;;
1959;50;152237.7353;;;
1959;51;25656.5624;;;
1959;52;125351.7653;;;
1959;53;59380.13414;;;
1959;54;50.07872485;;;
1959;55;9.042577757;;;
1959;56;44.42996454;;;
1959;57;110.3005668;;;
1959;58;539.8155372;;;
1959;59;13202.89269;;;
1959;60;36966.05539;;;
1959;62;25480.28217;;;
1959;63;286.7626167;;;
1959;64;434.4352288;;;
1959;65;112.7723115;;;
1959;66;31565.05863;;;
1960;1;77050.2891;;;
1960;2;53916.59208;;;
1960;3;40285.96132;;;
1960;4;24474.27244;;;
1960;5;113723.4722;;;
1960;6;26720.48495;;;
1960;7;358332.4264;;;
1960;8;66623.104;;;
1960;9;214664.2167;;;
1960;10;3835.499432;;;
1960;11;22589.83435;;;
1960;12;22014.12489;;;
1960;13;26776.65028;;;
1960;14;26338.42901;;;
1960;15;20576.4088;;;
1960;16;10892.79385;;;
1960;17;33883.58748;;;
1960;18;51391.33765;;;
1960;19;222771.8722;;;
1960;20;135900.5321;;;
1960;21;147043.6137;;;
1960;22;511962.7112;;;
1960;23;34442.31447;;;
1960;24;248410.1352;;;
1960;25;129588.0015;;;
1960;26;119783.3103;;;
1960;27;15271.50858;;;
1960;28;25955.02412;;;
1960;29;23814.4593;;;
1960;30;4391.025028;;;
1960;31;324.0023616;;;
1960;32;174483.5471;;;
1960;33;4722.1471;;;
1960;34;52207.59635;;;
1960;35;25962.70082;;;
1960;36;268739.6319;;;
1960;37;23128.52058;;;
1960;38;28712.18476;;;
1960;39;2464.397507;;;
1960;40;646.6496323;;;
1960;41;2744.773713;;;
1960;42;723.8300175;;;
1960;43;766.860558;;;
1960;44;364.1288788;;;
1960;45;1251.509524;;;
1960;46;27432.84394;;;
1960;47;319219.1686;;;
1960;48;119219.3926;;;
1960;49;129035.7896;;;
1960;50;170035.8022;;;
1960;51;31048.38897;;;
1960;52;153167.6771;;;
1960;53;80545.73822;;;
1960;54;51.34986382;;;
1960;55;8.837859976;;;
1960;56;44.42996454;;;
1960;57;110.3005668;;;
1960;58;506.8481241;;;
1960;59;17099.23211;;;
1960;60;54025.76916;;;
1960;62;21249.23949;;;
1960;63;240.1071026;;;
1960;64;172.723876;;;
1960;65;95.88660253;;;
1960;66;27702.86932;;;
1961;1;91082.54189;;;
1961;2;57698.4517;;;
1961;3;42844.01808;;;
1961;4;26659.25028;;;
1961;5;94221.04725;;;
1961;6;21716.96799;;;
1961;7;369880.3262;;;
1961;8;70952.02281;;;
1961;9;214373.4319;;;
1961;10;3894.141283;;;
1961;11;24915.16722;;;
1961;12;22170.03592;;;
1961;13;26259.47482;;;
1961;14;25009.3628;;;
1961;15;24607.34905;;;
1961;16;12970.35964;;;
1961;17;39327.25792;;;
1961;18;29350.81463;;;
1961;19;184356.5452;;;
1961;20;130548.9598;;;
1961;21;123878.6951;;;
1961;22;504585.739;;;
1961;23;29983.81387;;;
1961;24;228877.9924;;;
1961;25;166117.2223;;;
1961;26;121395.3525;;;
1961;27;13567.78941;;;
1961;28;21231.62802;;;
1961;29;23478.27134;;;
1961;30;5522.176883;;;
1961;31;480.3928654;;;
1961;32;167071.2535;;;
1961;33;5976.071577;;;
1961;34;51387.43552;;;
1961;35;32139.85096;;;
1961;36;286749.6451;;;
1961;37;26317.69611;;;
1961;38;35795.51607;;;
1961;39;2606.104625;;;
1961;40;641.017036;;;
1961;41;2407.186756;;;
1961;42;744.8532217;;;
1961;43;832.779514;;;
1961;44;399.200353;;;
1961;45;1427.758034;;;
1961;46;26135.47855;;;
1961;47;347700.1448;;;
1961;48;145042.0466;;;
1961;49;136405.3249;;;
1961;50;184820.7035;;;
1961;51;35385.95059;;;
1961;52;180860.6517;;;
1961;53;94540.55858;;;
1961;54;50.06516128;;;
1961;55;8.934154678;;;
1961;56;44.42996454;;;
1961;57;110.3005668;;;
1961;58;493.0450023;;;
1961;59;11261.72102;;;
1961;60;25427.68069;;;
1961;62;20951.98986;;;
1961;63;259.511504;;;
1961;64;78.84411178;;;
1961;65;100.5834707;;;
1961;66;27480.84493;;;
1962;1;105693.6815;;;
1962;2;89614.91992;;;
1962;3;50620.42779;;;
1962;4;26498.58272;;;
1962;5;96517.78903;;;
1962;6;22440.94398;;;
1962;7;382089.3121;;;
1962;8;82304.90968;;;
1962;9;171989.8085;;;
1962;10;3714.783352;;;
1962;11;26350.66752;;;
1962;12;29017.62633;;;
1962;13;31476.03138;;;
1962;14;30066.87913;;;
1962;15;39651.85293;;;
1962;16;19065.39551;;;
1962;17;56840.98498;;;
1962;18;28575.3675;;;
1962;19;201725.7026;;;
1962;20;205907.8992;;;
1962;21;138087.4296;;;
1962;22;544043.7249;;;
1962;23;36878.23776;;;
1962;24;171819.0178;;;
1962;25;160084.955;;;
1962;26;127203.5586;;;
1962;27;39196.21278;;;
1962;28;30718.98644;;;
1962;29;22616.66603;;;
1962;30;5575.894629;;;
1962;31;496.4965989;;;
1962;32;203584.1007;;;
1962;33;6735.214961;;;
1962;34;63008.05312;;;
1962;35;34986.12478;;;
1962;36;287285.9792;;;
1962;37;26058.54493;;;
1962;38;37085.21227;;;
1962;39;3437.04572;;;
1962;40;858.6236948;;;
1962;41;2246.949242;;;
1962;42;1341.874025;;;
1962;43;1610.778855;;;
1962;44;758.26532;;;
1962;45;2596.808973;;;
1962;46;24529.97256;;;
1962;47;322456.1672;;;
1962;48;129292.4193;;;
1962;49;119368.9022;;;
1962;50;174224.0791;;;
1962;51;31979.87251;;;
1962;52;161056.4831;;;
1962;53;83771.142;;;
1962;54;56.89817265;;;
1962;55;9.101630907;;;
1962;56;44.42996454;;;
1962;57;110.3005668;;;
1962;58;495.5368659;;;
1962;59;13522.02457;;;
1962;60;32168.84897;;;
1962;62;24113.90332;;;
1962;63;237.7603448;;;
1962;64;104.5865781;;;
1962;65;89.74781574;;;
1962;66;24972.01626;;;
1963;1;131485.7354;;;
1963;2;128177.041;;;
1963;3;59640.22094;;;
1963;4;26552.4014;;;
1963;5;123737.2005;;;
1963;6;29608.19733;;;
1963;7;595405.3453;;;
1963;8;226028.7758;;;
1963;9;57338.48599;;;
1963;10;3264.197311;;;
1963;11;27381.45315;;;
1963;12;29487.62873;;;
1963;13;33631.10375;;;
1963;14;37191.81588;;;
1963;15;32981.59466;;;
1963;16;15099.34869;;;
1963;17;43745.57188;;;
1963;18;17141.58633;;;
1963;19;194339.3048;;;
1963;20;170998.6487;;;
1963;21;151981.7241;;;
1963;22;672475.4526;;;
1963;23;34721.30806;;;
1963;24;183911.0804;;;
1963;25;173293.6277;;;
1963;26;111453.8795;;;
1963;27;31734.29209;;;
1963;28;31897.98083;;;
1963;29;22920.70502;;;
1963;30;6861.332578;;;
1963;31;741.4713754;;;
1963;32;199880.0548;;;
1963;33;7178.659265;;;
1963;34;62971.96525;;;
1963;35;47403.63902;;;
1963;36;270397.3883;;;
1963;37;71197.70679;;;
1963;38;38297.21751;;;
1963;39;3867.676573;;;
1963;40;1036.072849;;;
1963;41;3494.41413;;;
1963;42;1572.207461;;;
1963;43;1784.20998;;;
1963;44;841.984949;;;
1963;45;2895.111263;;;
1963;46;24946.05208;;;
1963;47;293252.0379;;;
1963;48;121814.3775;;;
1963;49;100358.9338;;;
1963;50;113520.2802;;;
1963;51;25308.36013;;;
1963;52;134351.4761;;;
1963;53;64090.53676;;;
1963;54;42.16571294;;;
1963;55;8.916946306;;;
1963;56;44.42996454;;;
1963;57;110.3005668;;;
1963;58;452.8811496;;;
1963;59;14572.63715;;;
1963;60;33423.98982;;;
1963;62;20602.79519;;;
1963;63;17.39651966;;;
1963;64;74.58507536;;;
1963;65;13.56864599;;;
1963;66;2573.59349;;;
1964;1;174971.8566;;;
1964;2;215499.6706;;;
1964;3;74235.24594;;;
1964;4;19545.53322;;;
1964;5;128660.6137;;;
1964;6;25685.53378;;;
1964;7;739816.3587;;;
1964;8;173800.9961;;;
1964;9;70608.82825;;;
1964;10;3319.093289;;;
1964;11;25337.38521;;;
1964;12;32565.36908;;;
1964;13;35563.51635;;;
1964;14;54353.39466;;;
1964;15;30850.08166;;;
1964;16;14376.55741;;;
1964;17;45554.04371;;;
1964;18;14253.74505;;;
1964;19;191747.4743;;;
1964;20;158531.1049;;;
1964;21;155749.9763;;;
1964;22;806767.8486;;;
1964;23;39825.25973;;;
1964;24;214376.7838;;;
1964;25;174224.5431;;;
1964;26;156813.614;;;
1964;27;52316.34938;;;
1964;28;59611.69481;;;
1964;29;42874.82968;;;
1964;30;12029.29661;;;
1964;31;592.9826293;;;
1964;32;212380.355;;;
1964;33;7796.294207;;;
1964;34;64665.15278;;;
1964;35;54544.55702;;;
1964;36;282320.6677;;;
1964;37;72748.52132;;;
1964;38;40351.94627;;;
1964;39;4089.279732;;;
1964;40;1130.287218;;;
1964;41;3390.706823;;;
1964;42;1582.887916;;;
1964;43;1793.581397;;;
1964;44;845.6751447;;;
1964;45;2909.057718;;;
1964;46;21052.18724;;;
1964;47;306128.3671;;;
1964;48;131371.7422;;;
1964;49;99419.26161;;;
1964;50;117278.815;;;
1964;51;26589.49555;;;
1964;52;146399.3261;;;
1964;53;69805.39362;;;
1964;54;51.7051082;;;
1964;55;8.97878194;;;
1964;56;44.42996454;;;
1964;57;110.3005668;;;
1964;58;522.6577079;;;
1964;59;14585.86367;;;
1964;60;30769.58441;;;
1964;62;32433.35937;;;
1964;63;16.88893296;;;
1964;64;83.04289802;;;
1964;65;13.17134682;;;
1964;66;3942.663302;;;
1965;1;222277.6212;;;
1965;2;278858.6322;;;
1965;3;89220.67788;;;
1965;4;17047.20715;;;
1965;5;135281.6289;;;
1965;6;26640.04961;;;
1965;7;925045.1731;;;
1965;8;194174.7874;;;
1965;9;76404.49399;;;
1965;10;3118.575014;;;
1965;11;22537.87004;;;
1965;12;35112.48792;;;
1965;13;39593.86403;;;
1965;14;78959.21857;;;
1965;15;34389.77154;;;
1965;16;15895.96349;;;
1965;17;45015.55061;;;
1965;18;10154.33396;;;
1965;19;214966.6106;;;
1965;20;124808.4775;;;
1965;21;184384.3136;;;
1965;22;847918.5578;;;
1965;23;39356.57674;;;
1965;24;219047.9892;;;
